FIPS code,CBSA 2012 pop,County 2012 pop,2013 code
20015,636105,65827,3
20017,.,2757,6
20019,.,3571,6
20021,.,21226,6
20023,.,2678,6
20025,.,2181,6
20027,.,8531,6
20029,.,9397,6
20031,.,8502,6
20033,.,1913,6
20035,36288,36288,5
20037,39361,39361,5
20039,.,2871,6
20041,.,19762,6
20043,127927,7864,4
20045,112864,112864,4
20047,.,2979,6
20049,.,2720,6
20051,29053,29053,5
20053,.,6494,6
20055,41168,37200,5
20057,34752,34752,5
20059,25906,25906,5
20061,38013,38013,5
20063,.,2729,6
20065,.,2578,6
20067,.,7923,6
20069,.,6030,6
20071,.,1298,6
20073,.,6454,6
20075,.,2639,6
20077,.,5911,6
20079,636105,34852,3
20081,.,4256,6
20083,.,1963,6
20085,234566,13449,4
20087,234566,18945,4
20089,.,3046,6
20091,2038724,559913,2
20093,41168,3968,5
20095,636105,7863,3
20097,.,2496,6
20099,21284,21284,5
20101,.,1704,6
20103,2038724,77739,2
20105,.,3174,6
20107,2038724,9441,2
20109,.,2784,6
20111,33748,33748,5
20113,29356,29356,5
20115,.,12347,6
20117,.,10022,6
20119,.,4396,6
20121,2038724,32612,2
20123,.,6355,6
20125,34459,34459,5
20127,.,5854,6
20129,.,3169,6
20131,.,10132,6
20133,.,16406,6
20135,.,3068,6
20137,.,5612,6
20139,234566,16142,4
20141,.,3806,6
20143,62060,6072,5
20145,.,6928,6
20147,.,5519,6
20149,97810,22302,4
20151,.,9728,6
20153,.,2560,6
20155,64438,64438,5
20157,.,4858,6
20159,.,9985,6
20161,97810,75508,4
20163,.,5223,6
20165,.,3220,6
20167,.,6946,6
20169,62060,55988,5
20171,.,4937,6
20173,636105,503889,3
20175,23547,23547,5
20177,234566,178991,4
20179,.,2538,6
20181,.,6113,6
20183,.,3765,6
20185,.,4358,6
20187,.,2175,6
20189,.,5756,6
20191,636105,23674,3
20193,.,7941,6
20195,.,2986,6
20197,234566,7039,4
20199,.,1517,6
20201,.,5758,6
20203,.,2256,6
20205,.,9105,6
20207,.,3278,6
20209,2038724,159129,2
21001,.,18675,6
21003,162231,20210,4
21005,71532,21728,5
21007,98539,8333,5
21009,52600,42631,5
21011,44924,11802,5
21013,28183,28183,5
21015,2128603,123316,2
21017,485023,19978,3
21019,364665,49164,3
21021,53119,28658,5
21023,2128603,8494,2
21025,.,13635,6
21027,.,20071,6
21029,1251351,75896,2
21031,162231,12840,4
21033,.,12935,6
21035,37655,37655,5
21037,2128603,90908,2
21039,.,5034,6
21041,.,10900,6
21043,.,27348,6
21045,.,16082,6
21047,274342,75427,3
21049,485023,35787,3
21051,.,21556,6
21053,.,10285,6
21055,.,9280,6
21057,.,6819,6
21059,116030,97847,4
21061,162231,12071,4
21063,.,7780,6
21065,.,14493,6
21067,485023,305489,3
21069,.,14560,6
