countyFIPS,PopulationEstimate2018,Rural-UrbanContinuumCode2013,increase,increase_scaled
6055,139417,3,0.16894354239539755,1.2117858108795738
6057,99696,4,0.07177346253629313,0.7199231918662046
6059,3185968,1,16.589565114426726,5.207072109458327
6061,393149,1,0.5559061777152365,1.4139834457552647
6065,2450758,1,25.14754586556444,10.261129767020831
6067,1540975,1,6.693948871207773,4.343969805615129
6069,61537,1,0.5508490012515823,8.951508868673844
6071,2171603,1,9.708584243930076,4.470699406811501
6073,3343364,1,22.06454447003145,6.599504113231897
6075,883305,1,9.222706107676945,10.441134271488268
6077,752660,2,2.685569468065946,3.568104413767101
6079,284010,2,2.1776715231464374,7.667587490392724
6081,769545,1,4.3870448516158405,5.700829518242391
6083,446527,2,2.2693946611550704,5.082323490304216
6085,1937570,1,9.921336570187563,5.120504843792773
6087,274255,2,0.2322463480678092,0.846826304234414
6089,180040,3,0.1486983549970351,0.8259184347758004
6095,446610,2,1.4807406984078586,3.3155117404622794
6097,499942,2,0.7663237344451836,1.5328252766224555
6099,549815,2,0.7812687876124045,1.4209666662648426
6101,96807,3,0.08275948798482258,0.8548915676017497
6107,465861,2,5.043725575161794,10.826674856151929
6111,850967,2,9.290574176783785,10.917666815262855
6113,220408,1,1.1290189467065996,5.122404571098143
6115,78041,3,0.07177346253629313,0.9196891702604161
8001,511868,1,22.723276915191036,44.3928452553999
8003,16683,7,8.881784197001252e-16,5.323853142121472e-14
8005,651215,1,28.05957567031524,43.08803647077423
8013,326078,2,0.5887362124535258,1.8055073094582454
8014,69267,1,2.2854806313663776,32.99523050466135
8019,9605,1,0.07177346253629313,7.47251041502271
8025,5858,8,0.0,0.0
8029,30953,6,0.0,0.0
8031,716492,1,20.964626521302165,29.260098537460525
8035,342776,1,3.3692443938467598,9.829289080468762
8037,54993,5,0.38405323074322606,6.983674844857092
8039,26282,1,0.4142135623730949,15.760351661711244
8045,59770,5,0.32461613047884885,5.431088012026917
8051,17246,7,1.6456748991720724,95.42357063505001
8059,580233,1,11.914772330513145,20.534461725743185
8063,7163,7,1.3322676295501878e-15,1.8599296796735837e-13
8075,21528,7,1.6702827250806265,77.58652569122196
8083,26158,6,8.881784197001252e-16,3.39543703532428e-14
8085,42214,4,0.3816562287460705,9.04098708357584
8087,28558,6,0.5791562527865324,20.28000044773907
8089,18432,6,0.1486983549970351,8.067402072321782
8091,4833,9,0.0,0.0
8101,167529,3,1.9749389958673014,11.788639554150633
8107,25733,7,0.5780031086491366,22.461551651542248
8117,31007,5,0.07177346253629313,2.3147502994902163
8119,25083,2,8.881784197001252e-16,3.5409576992390273e-14
9001,943823,2,110.16703862215331,116.72425722000132
9003,892697,1,149.01738199942122,166.9294082980241
9005,181111,4,9.259840300763543,51.127983947764314
9009,857620,2,30.207262867050417,35.22219965375156
9011,266784,2,15.09815256032639,56.59317110593735
